"YEAR","WEEK","AGE.0.4","AGE.5.24","AGE.25.49","AGE.50.64","AGE.65","AGE.all"
2009,40,9302,27406,8554,2255,903,48420
2009,41,11527,32585,10271,2800,1013,58196
2009,42,13187,39364,12399,3048,1070,69068
2009,43,13174,36860,12166,3083,1128,66411
2009,44,12161,30860,10250,2672,1074,57017
2009,45,10151,21112,8174,2314,978,42729
2009,46,8979,14652,6163,1843,883,32520
2009,47,7716,8237,4378,1406,771,22508
2009,48,7195,7988,4259,1470,818,21730
2009,49,6490,7218,3588,1314,715,19325
2009,50,6275,5785,3249,1113,659,17081
2009,51,6078,4127,2677,1049,644,14575
2009,52,6598,3726,3202,1284,803,15613
2010,1,4998,3961,3333,1244,763,14299
2010,2,4877,4614,2793,1182,622,14088
2010,3,5399,5079,2693,1008,578,14757
2010,4,5333,5655,2560,1046,528,15122
2010,5,5816,6142,2581,948,550,16037
2010,6,5496,5577,2644,1006,658,15381
2010,7,5388,5536,2649,994,498,15065
2010,8,5040,6207,2943,1218,679,16087
2010,9,4281,5685,2763,1085,672,14486
2010,10,4612,5270,2660,1112,700,14354
2010,11,4063,4466,2468,976,628,12601
2010,12,3625,4108,2097,827,534,11191
2010,13,3408,3733,1954,736,528,10359
2010,14,3090,2933,1718,644,428,8813
2010,15,3117,3110,1572,598,404,8801
2010,16,2921,3044,1461,522,414,8362
2010,17,3081,2972,1435,557,395,8440
2010,18,2781,2901,1385,482,365,7914
2010,19,2851,2645,1363,491,347,7697
2010,20,2816,2553,1364,498,372,7603
2010,21,2636,2188,1235,445,349,6853
2010,22,2413,2172,1212,463,335,6595
2010,23,2147,1831,1081,374,322,5755
2010,24,1975,1784,978,339,240,5316
2010,25,2027,1779,882,397,249,5334
2010,26,1754,1541,862,323,238,4718
2010,27,1753,1566,816,334,222,4691
2010,28,1458,1450,819,298,209,4234
2010,29,1323,1335,759,335,198,3950
2010,30,1290,1279,805,302,174,3850
2010,31,1381,1357,839,291,209,4077
2010,32,1378,1307,809,300,214,4008
2010,33,1485,1592,883,360,198,4518
2010,34,1520,1592,811,295,202,4420
2010,35,1564,1866,1019,354,204,5007
2010,36,1850,1959,1076,374,234,5493
2010,37,1720,2118,1061,358,253,5510
2010,38,2134,2510,1291,480,326,6741
2010,39,1995,2383,1269,446,294,6387
2010,40,2627,3142,1677,627,400,8473
2010,41,2953,3522,1779,649,444,9347
2010,42,3044,3641,1898,690,411,9684
2010,43,3226,3822,1754,682,420,9904
2010,44,3451,4397,1981,736,455,11020
2010,45,3927,4679,1956,734,511,11807
2010,46,4416,5322,2327,774,497,13336
2010,47,4598,4145,2043,743,550,12079
2010,48,5045,4978,2440,915,619,13997
2010,49,5060,5867,2511,893,627,14958
2010,50,6300,7194,2847,1031,650,18022
2010,51,7295,7071,3433,1262,838,19899
